chord	chordCount	songTitle	key	artist	album
4	24	Heartbreaker	A	Led Zeppelin	Led Zeppelin II
2m	1	Heartbreaker	A	Led Zeppelin	Led Zeppelin II
b3	1	Heartbreaker	A	Led Zeppelin	Led Zeppelin II
5	1	Heartbreaker	A	Led Zeppelin	Led Zeppelin II
1^7	3	Heartbreaker	A	Led Zeppelin	Led Zeppelin II
6m	20	Thank You	G	Led Zeppelin	Led Zeppelin II
4maj7	35	Thank You	G	Led Zeppelin	Led Zeppelin II
5	6	Thank You	G	Led Zeppelin	Led Zeppelin II
1	21	Thank You	G	Led Zeppelin	Led Zeppelin II
5/7	6	Thank You	G	Led Zeppelin	Led Zeppelin II
3m7	5	Thank You	G	Led Zeppelin	Led Zeppelin II
2m7	5	Thank You	G	Led Zeppelin	Led Zeppelin II
1	69	Whole Lotta Love	E	Led Zeppelin	Led Zeppelin II
b7	67	Whole Lotta Love	E	Led Zeppelin	Led Zeppelin II
4	1	Whole Lotta Love	E	Led Zeppelin	Led Zeppelin II
1^7	39	The Lemon Song	E	Led Zeppelin	Led Zeppelin II
4^7	26	The Lemon Song	E	Led Zeppelin	Led Zeppelin II
5^7	13	The Lemon Song	E	Led Zeppelin	Led Zeppelin II
1^7	13	What Is and What Should Never Be	E	Led Zeppelin	Led Zeppelin II
4^13	16	What Is and What Should Never Be	E	Led Zeppelin	Led Zeppelin II
4	16	What Is and What Should Never Be	E	Led Zeppelin	Led Zeppelin II
4^7	8	What Is and What Should Never Be	E	Led Zeppelin	Led Zeppelin II
4^6	8	What Is and What Should Never Be	E	Led Zeppelin	Led Zeppelin II
b7	8	What Is and What Should Never Be	E	Led Zeppelin	Led Zeppelin II
5	8	What Is and What Should Never Be	E	Led Zeppelin	Led Zeppelin II
5/4	4	What Is and What Should Never Be	E	Led Zeppelin	Led Zeppelin II
3m7	4	What Is and What Should Never Be	E	Led Zeppelin	Led Zeppelin II
1	8	What Is and What Should Never Be	E	Led Zeppelin	Led Zeppelin II
2	4	What Is and What Should Never Be	E	Led Zeppelin	Led Zeppelin II
1^5	2	What Is and What Should Never Be	E	Led Zeppelin	Led Zeppelin II
1^7	12	Bring It On Home	E	Led Zeppelin	Led Zeppelin II
4^7	5	Bring It On Home	E	Led Zeppelin	Led Zeppelin II
5^7	4	Bring It On Home	E	Led Zeppelin	Led Zeppelin II
6	19	Moby Dick	F	Led Zeppelin	Led Zeppelin II
1/3	12	Moby Dick	F	Led Zeppelin	Led Zeppelin II
2m	8	Moby Dick	F	Led Zeppelin	Led Zeppelin II
4	4	Moby Dick	F	Led Zeppelin	Led Zeppelin II
3	4	Moby Dick	F	Led Zeppelin	Led Zeppelin II
5	1	Moby Dick	F	Led Zeppelin	Led Zeppelin II
1^7	44	Gallows Pole	A	Led Zeppelin	Led Zeppelin III
5m/1	22	Gallows Pole	A	Led Zeppelin	Led Zeppelin III
1m7	22	Gallows Pole	A	Led Zeppelin	Led Zeppelin III
5m9/1	21	Gallows Pole	A	Led Zeppelin	Led Zeppelin III
4add11/1	21	Gallows Pole	A	Led Zeppelin	Led Zeppelin III
b7	237	Gallows Pole	A	Led Zeppelin	Led Zeppelin III
4	69	Gallows Pole	A	Led Zeppelin	Led Zeppelin III
1	172	Gallows Pole	A	Led Zeppelin	Led Zeppelin III
b3	1	Gallows Pole	A	Led Zeppelin	Led Zeppelin III
2m	12	Tangerine	G	Led Zeppelin	Led Zeppelin III
4/1	1	Tangerine	G	Led Zeppelin	Led Zeppelin III
1	24	Tangerine	G	Led Zeppelin	Led Zeppelin III
5	29	Tangerine	G	Led Zeppelin	Led Zeppelin III
4	14	Tangerine	G	Led Zeppelin	Led Zeppelin III
1^6	1	Tangerine	G	Led Zeppelin	Led Zeppelin III
b7	4	Tangerine	G	Led Zeppelin	Led Zeppelin III
6	2	Tangerine	G	Led Zeppelin	Led Zeppelin III
b7	5	Out on the Tiles	A	Led Zeppelin	Led Zeppelin III
6	29	Out on the Tiles	A	Led Zeppelin	Led Zeppelin III
1	21	Out on the Tiles	A	Led Zeppelin	Led Zeppelin III
5	32	Out on the Tiles	A	Led Zeppelin	Led Zeppelin III
2^7	12	Out on the Tiles	A	Led Zeppelin	Led Zeppelin III
5^5	2	Out on the Tiles	A	Led Zeppelin	Led Zeppelin III
6m	32	Since I've Been Loving You	Eb	Led Zeppelin	Led Zeppelin III
2m	16	Since I've Been Loving You	Eb	Led Zeppelin	Led Zeppelin III
2m/6	16	Since I've Been Loving You	Eb	Led Zeppelin	Led Zeppelin III
3m	7	Since I've Been Loving You	Eb	Led Zeppelin	Led Zeppelin III
3	7	Since I've Been Loving You	Eb	Led Zeppelin	Led Zeppelin III
1^7	7	Since I've Been Loving You	Eb	Led Zeppelin	Led Zeppelin III
7^7	7	Since I've Been Loving You	Eb	Led Zeppelin	Led Zeppelin III
b7maj7	7	Since I've Been Loving You	Eb	Led Zeppelin	Led Zeppelin III
4	1	Since I've Been Loving You	Eb	Led Zeppelin	Led Zeppelin III
1	1	Since I've Been Loving You	Eb	Led Zeppelin	Led Zeppelin III
6^7	1	Since I've Been Loving You	Eb	Led Zeppelin	Led Zeppelin III
6m	18	Immigrant Song	A	Led Zeppelin	Led Zeppelin III
1	6	Immigrant Song	A	Led Zeppelin	Led Zeppelin III
5	4	Immigrant Song	A	Led Zeppelin	Led Zeppelin III
2	2	Immigrant Song	A	Led Zeppelin	Led Zeppelin III
b3	2	Immigrant Song	A	Led Zeppelin	Led Zeppelin III
b7/b3	11	Immigrant Song	A	Led Zeppelin	Led Zeppelin III
b7^7	1	Celebration Day	A	Led Zeppelin	Led Zeppelin III
7^7	1	Celebration Day	A	Led Zeppelin	Led Zeppelin III
1^7	1	Celebration Day	A	Led Zeppelin	Led Zeppelin III
1^5	26	Celebration Day	A	Led Zeppelin	Led Zeppelin III
b7^5	6	Celebration Day	A	Led Zeppelin	Led Zeppelin III
b2^5	6	Celebration Day	A	Led Zeppelin	Led Zeppelin III
b6^5	6	Celebration Day	A	Led Zeppelin	Led Zeppelin III
5^5	3	Celebration Day	A	Led Zeppelin	Led Zeppelin III
1	37	Friends	C	Led Zeppelin	Led Zeppelin III
1(b5)	8	Friends	C	Led Zeppelin	Led Zeppelin III
6m/1	8	Friends	C	Led Zeppelin	Led Zeppelin III
1m	3	Friends	C	Led Zeppelin	Led Zeppelin III
1sus2	4	Friends	C	Led Zeppelin	Led Zeppelin III
4^5/1	2	Friends	C	Led Zeppelin	Led Zeppelin III
1^5	1	Friends	C	Led Zeppelin	Led Zeppelin III
1/5	70	Bron-Yr-Aur Stomp	F	Led Zeppelin	Led Zeppelin III
b3	51	Bron-Yr-Aur Stomp	F	Led Zeppelin	Led Zeppelin III
4	71	Bron-Yr-Aur Stomp	F	Led Zeppelin	Led Zeppelin III
3	18	Bron-Yr-Aur Stomp	F	Led Zeppelin	Led Zeppelin III
2	8	Bron-Yr-Aur Stomp	F	Led Zeppelin	Led Zeppelin III
1maj7	93	That's the Way	Gb	Led Zeppelin	Led Zeppelin III
4/1	95	That's the Way	Gb	Led Zeppelin	Led Zeppelin III
b7maj7sus4/b3	3	That's the Way	Gb	Led Zeppelin	Led Zeppelin III
b3	2	That's the Way	Gb	Led Zeppelin	Led Zeppelin III
1	3	That's the Way	Gb	Led Zeppelin	Led Zeppelin III
5	2	That's the Way	Gb	Led Zeppelin	Led Zeppelin III
5m	1	That's the Way	Gb	Led Zeppelin	Led Zeppelin III
1^5	18	Four Sticks	E	Led Zeppelin	Led Zeppelin IV
4^5	12	Four Sticks	E	Led Zeppelin	Led Zeppelin IV
b3^5	12	Four Sticks	E	Led Zeppelin	Led Zeppelin IV
b3^6/b7	6	Four Sticks	E	Led Zeppelin	Led Zeppelin IV
4sus2	3	Four Sticks	E	Led Zeppelin	Led Zeppelin IV
4	1	Four Sticks	E	Led Zeppelin	Led Zeppelin IV
1	16	Going to California	D	Led Zeppelin	Led Zeppelin IV
4	13	Going to California	D	Led Zeppelin	Led Zeppelin IV
1m	6	Going to California	D	Led Zeppelin	Led Zeppelin IV
5	2	Going to California	D	Led Zeppelin	Led Zeppelin IV
b7^5	102	Misty Mountain Hop	A	Led Zeppelin	Led Zeppelin IV
5^5	102	Misty Mountain Hop	A	Led Zeppelin	Led Zeppelin IV
1^5	120	Misty Mountain Hop	A	Led Zeppelin	Led Zeppelin IV
4	10	Misty Mountain Hop	A	Led Zeppelin	Led Zeppelin IV
b7	10	Misty Mountain Hop	A	Led Zeppelin	Led Zeppelin IV
6m	56	Stairway to Heaven	C	Led Zeppelin	Led Zeppelin IV
6m(maj9)	6	Stairway to Heaven	C	Led Zeppelin	Led Zeppelin IV
6m7	22	Stairway to Heaven	C	Led Zeppelin	Led Zeppelin IV
2/b5	7	Stairway to Heaven	C	Led Zeppelin	Led Zeppelin IV
4maj7	33	Stairway to Heaven	C	Led Zeppelin	Led Zeppelin IV
5	38	Stairway to Heaven	C	Led Zeppelin	Led Zeppelin IV
1	30	Stairway to Heaven	C	Led Zeppelin	Led Zeppelin IV
2	34	Stairway to Heaven	C	Led Zeppelin	Led Zeppelin IV
3m/2	8	Stairway to Heaven	C	Led Zeppelin	Led Zeppelin IV
1/2	8	Stairway to Heaven	C	Led Zeppelin	Led Zeppelin IV
2sus4	2	Stairway to Heaven	C	Led Zeppelin	Led Zeppelin IV
1/5	15	Stairway to Heaven	C	Led Zeppelin	Led Zeppelin IV
4	9	Stairway to Heaven	C	Led Zeppelin	Led Zeppelin IV
1^7	47	Black Dog	A	Led Zeppelin	Led Zeppelin IV
b3	21	Black Dog	A	Led Zeppelin	Led Zeppelin IV
4sus4	16	Black Dog	A	Led Zeppelin	Led Zeppelin IV
4	16	Black Dog	A	Led Zeppelin	Led Zeppelin IV
1m	100	The Battle of Evermore	A	Led Zeppelin	Led Zeppelin IV
b3	89	The Battle of Evermore	A	Led Zeppelin	Led Zeppelin IV
4	17	The Battle of Evermore	A	Led Zeppelin	Led Zeppelin IV
1^7	6	The Battle of Evermore	A	Led Zeppelin	Led Zeppelin IV
b7^7	6	The Battle of Evermore	A	Led Zeppelin	Led Zeppelin IV
1sus2	4	The Battle of Evermore	A	Led Zeppelin	Led Zeppelin IV
5m7	1	The Battle of Evermore	A	Led Zeppelin	Led Zeppelin IV
b7	11	The Battle of Evermore	A	Led Zeppelin	Led Zeppelin IV
1	19	Rock and Roll	A	Led Zeppelin	Led Zeppelin IV
4	12	Rock and Roll	A	Led Zeppelin	Led Zeppelin IV
5	7	Rock and Roll	A	Led Zeppelin	Led Zeppelin IV
6^5	21	When the Levee Breaks	Ab	Led Zeppelin	Led Zeppelin IV
4	8	When the Levee Breaks	Ab	Led Zeppelin	Led Zeppelin IV
5	20	When the Levee Breaks	Ab	Led Zeppelin	Led Zeppelin IV
1	16	When the Levee Breaks	Ab	Led Zeppelin	Led Zeppelin IV
6	28	When the Levee Breaks	Ab	Led Zeppelin	Led Zeppelin IV
3	24	When the Levee Breaks	Ab	Led Zeppelin	Led Zeppelin IV
2	12	When the Levee Breaks	Ab	Led Zeppelin	Led Zeppelin IV
